aim	term	n	b_noTMB	p_noTMB	b_TMB	p_TMB	evalue_TMB	est	lo	hi	pm
A1	chromo	647	-0.1419933243259853	0.04753250406448555	-0.1385041604021541	0.05317177135413907	1.5246717557968434				
A1	WGD	647	-0.3324092442280613	2.980429636064165e-06	-0.34629210243837744	1.405704067848324e-06	2.0829282986237603				
A2_WGD_TMBadj	total effect	647						-0.3593406376389911	-0.4958048007157603	-0.21398015853574243	
A2_WGD_TMBadj	direct effect	647						-0.2550621003042001	-0.3773137088298691	-0.13763644745415182	
A2_WGD_TMBadj	indirect via SENSOR	647						-0.004803449309123563	-0.02091162038810498	0.007444179820238005	0.013367397967243863
A2_WGD_TMBadj	indirect via APM	647						-0.09947508802567023	-0.1775716917697422	-0.023774539727489576	0.2768267142821935
